Make,Model,Mileage,Engine_Size,Fuel_Type,Transmission,Age,Price
Lexus,NX,60000,2500,Petrol,Automatic,8,5350000
Lexus,NX,85748,2500,Petrol,Automatic,8,5300000
Lexus,NX,49500,2000,Petrol,Automatic,8,5300000
Lexus,NX,96000,2000,Petrol,Automatic,8,5215000
Lexus,NX,76000,2000,Petrol,Automatic,10,4900000
Lexus,NX,45000,2000,Petrol,Automatic,8,4900000
Lexus,NX,45000,2000,Petrol,Automatic,8,4815000
Lexus,NX,80000,2000,Petrol,Automatic,8,4515000
Lexus,NX,13000,2000,Petrol,Automatic,8,4515000
Lexus,NX,69000,2000,Petrol,Automatic,9,4500000
Lexus,NX,125000,2500,Petrol,Automatic,20,1750000
Lexus,Rx,69000,2000,Petrol,Automatic,8,7615000
Lexus,Rx,69000,2000,Petrol,Automatic,8,7610000
Lexus,Rx,51000,2000,Petrol,Automatic,8,7510000
Lexus,Rx,50000,3000,Petrol,Automatic,8,7215000
Lexus,Rx,52000,2500,Petrol,Automatic,8,7215000
Lexus,Rx,96450,3500,Petrol,Automatic,5,7200000
Lexus,Rx,87000,2000,Petrol,Automatic,8,7200000
Lexus,Rx,123000,2000,Petrol,Automatic,8,7015000
Lexus,Rx,75000,3500,Petrol,Automatic,8,6815000
Lexus,Rx,65000,2500,Petrol,Automatic,8,6630000
Lexus,Rx,44000,2000,Petrol,Automatic,7,6615000
Lexus,Rx,47000,2000,Petrol,Automatic,8,6565000
Lexus,Rx,78000,2000,Petrol,Automatic,8,6115000
Lexus,Rx,89782,2000,Petrol,Automatic,8,4299999
Lexus,Rx,110000,3000,Petrol,Automatic,10,4250000
Lexus,Rx,140000,2700,Petrol,Automatic,12,3350000
Lexus,Rx,63000,3500,Petrol,Automatic,15,2900000
Lexus,Rx,100675,3500,Petrol,Automatic,12,2800000
Lexus,Rx,122000,3500,Petrol,Automatic,13,2700000
Lexus,Rx,97000,3500,Petrol,Automatic,14,2565000
Lexus,Rx,124048,3456,Petrol,Automatic,13,2250000
Lexus,Rx,94000,3000,Petrol,Automatic,19,1880000
Lexus,Rx,160132,3300,Petrol,Automatic,17,1500000
Lexus,Rx,159000,3000,Petrol,Automatic,18,980000
Lexus,Rx,111784,3000,Petrol,Automatic,19,850000
Mazda,Atenza,37000,2500,Petrol,Automatic,9,2600000
Mazda,Atenza,106000,2200,Diesel,Automatic,8,2565000
Mazda,Atenza,99000,2180,Diesel,Automatic,8,2550000
Mazda,Atenza,83000,2200,Diesel,Automatic,8,2400000
Mazda,Atenza,122000,2200,Diesel,Automatic,7,2365000
Mazda,Atenza,120000,2195,Diesel,Automatic,7,2365000
Mazda,Atenza,94000,2000,Petrol,Automatic,8,2365000
Mazda,Atenza,102000,2000,Petrol,Automatic,8,2215000
Mazda,Atenza,87000,2000,Petrol,Automatic,8,2215000
Mazda,Atenza,18006,2000,Petrol,Automatic,9,2200000
Mazda,Atenza,139500,2200,Diesel,Automatic,8,2150000
Mazda,Atenza,135794,1990,Petrol,Automatic,9,1920000
Mazda,Atenza,133000,1500,Petrol,Automatic,8,1915000
Mazda,Atenza,100000,1800,Petrol,Automatic,8,1865000
Mazda,Atenza,84000,1800,Petrol,Automatic,8,1865000
Mazda,Atenza,73500,2180,Diesel,Automatic,8,1780000
Mazda,Atenza,128000,2200,Diesel,Automatic,9,1690000
Mazda,Atenza,81000,2000,Petrol,Automatic,10,1665000
Mazda,Atenza,176715,2200,Diesel,Automatic,10,1450000
Mazda,Axela,77000,2000,Petrol,Automatic,8,3400000
Mazda,Axela,42291,1500,Petrol,Automatic,8,2360000
